Algorithm,Dataset,Rep,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,
GP,cryotherapy,1,6
GPEDA,cryotherapy,1,6
GPBUMDA,cryotherapy,1,6
GP,cryotherapy,2,59
GPEDA,cryotherapy,2,59
GPBUMDA,cryotherapy,2,59
GP,cryotherapy,3,84
GPEDA,cryotherapy,3,84
GPBUMDA,cryotherapy,3,84
GP,cryotherapy,4,121
GPEDA,cryotherapy,4,121
GPBUMDA,cryotherapy,4,121
GP,cryotherapy,5,162
GPEDA,cryotherapy,5,162
GPBUMDA,cryotherapy,5,162
GPEDA,cryotherapy,1,0,13,13,19,18,92,183,191,193,279,122,271,175,56,183,
GP,cryotherapy,1,0,71,30,101,94,186,232,140,129,135,139,55,228,182,138,
GPEDA,cryotherapy,5,0,340,197,155,52,163,150,17,40,61,97,48,79,65,13,
GP,cryotherapy,2,0,170,100,119,183,444,264,205,169,205,131,64,174,48,79,
GP,cryotherapy,5,0,196,384,244,202,211,143,67,211,19,121,40,85,84,56,
GPBUMDA,cryotherapy,1,0,22,14,179,346,220,230,185,164,331,235,313,170,170,68,
GPEDA,cryotherapy,4,0,514,166,247,176,37,77,299,159,94,215,43,72,172,146,
GPBUMDA,cryotherapy,2,0,75,72,172,332,368,341,154,274,207,122,146,196,184,37,
GPEDA,cryotherapy,2,0,46,120,310,347,325,154,276,192,177,266,113,123,110,127,
GP,cryotherapy,4,0,519,324,251,253,224,91,92,119,106,196,115,96,98,19,
GPBUMDA,cryotherapy,3,0,156,193,161,387,311,323,328,252,172,103,79,65,102,13,
GPEDA,cryotherapy,3,0,171,180,285,261,397,217,370,423,94,215,32,4,4,9,
GP,cryotherapy,3,0,257,268,261,248,410,237,212,318,171,68,168,45,16,17,
GPBUMDA,cryotherapy,4,0,413,219,330,199,164,187,382,356,170,132,19,12,4,8,
GPBUMDA,cryotherapy,5,0,187,75,304,544,156,284,395,176,178,103,17,15,9,5,
