Algorithm,Dataset,Rep,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,
GP,immunotherapy,1,4
GPEDA,immunotherapy,1,4
GPBUMDA,immunotherapy,1,4
GP,immunotherapy,2,5
GPEDA,immunotherapy,2,5
GPBUMDA,immunotherapy,2,5
GP,immunotherapy,3,43
GPEDA,immunotherapy,3,43
GPBUMDA,immunotherapy,3,43
GP,immunotherapy,4,129
GPEDA,immunotherapy,4,129
GPBUMDA,immunotherapy,4,129
GP,immunotherapy,5,157
GPEDA,immunotherapy,5,157
GPBUMDA,immunotherapy,5,157
GP,immunotherapy,2,0,34,48,48,51,72,90,126,65,123,155,198,70,56,43,
GPBUMDA,immunotherapy,2,0,22,105,73,58,44,212,130,67,77,146,91,100,147,27,
GPBUMDA,immunotherapy,3,0,247,171,106,54,98,184,110,207,39,46,23,14,92,39,
GP,immunotherapy,4,0,109,175,75,152,182,278,81,177,158,25,94,55,44,106,
GPBUMDA,immunotherapy,5,0,664,319,365,38,60,108,40,37,4,2,2,2,2,8,
GP,immunotherapy,1,0,97,97,222,269,256,334,185,145,50,16,90,72,122,34,
GP,immunotherapy,3,0,101,211,150,148,263,326,146,96,67,100,89,70,32,179,
GPBUMDA,immunotherapy,4,0,175,423,295,330,142,59,77,86,42,106,97,59,11,23,
GPEDA,immunotherapy,4,0,307,487,388,171,180,91,70,19,69,48,26,36,9,44,
GPEDA,immunotherapy,3,0,70,116,215,131,51,99,259,65,293,88,286,207,158,56,
GP,immunotherapy,5,0,459,622,413,126,63,54,3,32,24,11,3,3,8,4,
GPEDA,immunotherapy,1,0,122,60,115,79,400,468,244,372,59,89,36,83,32,2,
GPBUMDA,immunotherapy,1,0,51,179,602,280,276,276,32,54,144,151,8,73,32,17,
GPEDA,immunotherapy,2,0,109,255,84,159,134,553,444,171,111,35,54,56,21,10,
GPEDA,immunotherapy,5,0,290,284,317,252,84,44,396,93,79,5,30,5,6,5,
