Algorithm,Dataset,Rep,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,
GP,haberman,1,13
GPEDA,haberman,1,13
GPBUMDA,haberman,1,13
GP,haberman,2,14
GPEDA,haberman,2,14
GPBUMDA,haberman,2,14
GP,haberman,3,84
GPEDA,haberman,3,84
GPBUMDA,haberman,3,84
GP,haberman,4,91
GPEDA,haberman,4,91
GPBUMDA,haberman,4,91
GP,haberman,5,75
GPEDA,haberman,5,75
GPBUMDA,haberman,5,75
GPBUMDA,haberman,5,0,1547,1900,1186,383,327,405,442,595,331,471,332,430,625,505,
GP,haberman,5,0,904,984,1141,312,639,275,601,406,932,540,1212,757,1025,1002,
GPEDA,haberman,2,0,95,131,332,459,811,1387,948,1216,1361,1839,1101,1301,793,1386,
GPBUMDA,haberman,2,0,87,449,520,465,886,522,1225,1237,1251,1356,2225,1481,1661,911,
GP,haberman,3,0,538,156,568,567,1251,700,1231,1155,1248,1745,2324,1446,902,1727,
GPEDA,haberman,3,0,582,457,246,272,605,923,863,819,1369,2381,2682,3071,990,1921,
GP,haberman,2,0,745,1012,1268,1066,1472,1336,1383,1694,1647,1219,953,1412,910,1186,
GPEDA,haberman,4,0,415,1329,1868,939,2316,1048,986,1751,2647,1266,1250,1022,830,542,
GP,haberman,4,0,814,2218,3151,2101,1503,1614,1438,1817,647,1102,824,301,409,385,
GPBUMDA,haberman,4,0,641,1254,1061,1212,2368,1386,2311,2090,1355,1070,820,845,990,1015,
GPBUMDA,haberman,3,0,390,290,933,865,920,1794,1365,2442,2364,1546,1995,2253,1385,72,
GP,haberman,1,0,749,2896,5015,4172,1482,3984,456,193,35,162,97,60,58,32,
GPEDA,haberman,1,0,698,2204,7547,4771,3354,234,100,107,44,78,72,312,44,78,
GPBUMDA,haberman,1,0,668,2754,4890,5265,3864,1426,221,179,65,118,32,114,63,33,
