Algorithm,Dataset,Rep,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,
GP,column_2C,1,37
GPEDA,column_2C,1,37
GPBUMDA,column_2C,1,37
GP,column_2C,2,100
GPEDA,column_2C,2,100
GPBUMDA,column_2C,2,100
GP,column_2C,3,677
GPEDA,column_2C,3,677
GPBUMDA,column_2C,3,677
GP,column_2C,4,691
GPEDA,column_2C,4,691
GPBUMDA,column_2C,4,691
GP,column_2C,5,1404
GPEDA,column_2C,5,1404
GPBUMDA,column_2C,5,1404
GPEDA,column_2C,2,0,1045,1280,769,1486,1364,953,1093,442,1146,713,607,240,735,416,
GPBUMDA,column_2C,1,0,639,1304,736,1993,1288,500,979,492,1415,991,701,928,174,1114,
GPBUMDA,column_2C,2,0,390,479,1699,1260,2001,1523,1132,926,437,890,582,968,641,716,
GP,column_2C,5,0,1617,883,1285,1051,1398,842,876,929,798,832,392,227,322,61,
GP,column_2C,3,0,1142,844,616,1800,570,1796,1089,1024,1159,778,633,790,989,626,
GPEDA,column_2C,5,0,2985,2365,1610,1149,737,445,614,589,489,247,383,35,41,137,
GPBUMDA,column_2C,4,0,1317,1216,1056,1225,1052,1366,933,988,632,1279,685,682,697,464,
GPBUMDA,column_2C,5,0,1874,1431,1218,1068,1571,1106,857,1127,459,593,257,315,362,223,
GP,column_2C,2,0,1035,1553,2412,1796,1277,696,525,1463,1324,579,1302,567,659,403,
GPEDA,column_2C,1,0,615,493,1199,1821,1436,1576,720,2461,1050,1199,1093,688,904,453,
GP,column_2C,1,0,371,587,1546,1481,2511,1504,1314,1453,2130,944,1046,526,331,219,
GPEDA,column_2C,4,0,1227,1854,1291,1520,1217,1116,1701,1227,1608,742,471,181,175,241,
GP,column_2C,4,0,2701,1285,1213,1767,2202,1526,1372,933,462,436,453,240,64,69,
GPEDA,column_2C,3,0,2467,1372,2457,1427,1294,1992,1014,748,1190,542,376,337,167,108,
GPBUMDA,column_2C,3,0,1598,1592,1388,1494,2090,2341,2046,1248,590,743,376,52,52,50,
