Algorithm,Dataset,Rep,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,
GP,breast,1,109
GPEDA,breast,1,109
GPBUMDA,breast,1,109
GP,breast,2,299
GPEDA,breast,2,299
GPBUMDA,breast,2,299
GP,breast,3,1389
GPEDA,breast,3,1389
GPBUMDA,breast,3,1389
GP,breast,4,5030
GPEDA,breast,4,5030
GPBUMDA,breast,4,5030
GP,breast,5,4617
GPEDA,breast,5,4617
GPBUMDA,breast,5,4617
GPBUMDA,breast,3,0,3189,926,2378,2539,185,816,882,1285,1615,1632,736,1245,3265,2149,
GPEDA,breast,3,0,4219,3689,1968,2221,3227,906,1963,2211,836,1686,1079,3096,911,1596,
GP,breast,3,0,4608,4149,2548,1898,2184,2959,3620,3761,1986,1111,1936,2341,3087,3938,
GPBUMDA,breast,1,0,3308,3565,2534,4814,4853,3019,3813,2154,3476,3304,3304,3834,2665,968,
GP,breast,1,0,2632,2755,2636,5361,6433,6123,3713,2099,4294,4041,3149,2675,2757,1464,
GPEDA,breast,1,0,3043,4502,5541,4303,4570,4325,3230,3735,4090,3526,2090,3381,1926,2121,
GPEDA,breast,2,0,3402,2654,4413,4072,6880,6782,5423,3807,4449,5402,2758,1890,1568,2230,
GP,breast,4,0,7226,5318,2441,2333,5223,4201,3633,3120,3939,3973,2302,1363,2946,1656,
GP,breast,2,0,4107,2245,3766,6307,4114,8719,5450,4996,7468,3326,3263,1967,1334,1206,
GPBUMDA,breast,5,0,9211,3949,1930,3959,6548,4716,4924,3161,2226,2488,989,1081,1016,1118,
GPEDA,breast,5,0,7697,5685,6948,4951,5200,4985,3114,2561,1843,2441,1479,653,955,358,
GP,breast,5,0,9137,3765,6369,6835,6481,3938,3207,2781,2549,1309,1645,1089,1170,937,
GPBUMDA,breast,2,0,2204,2780,6700,9569,9739,9005,7532,4599,3509,2892,1739,833,1032,981,
GPBUMDA,breast,4,0,7398,4876,5691,4298,7412,2243,5189,5216,4358,2722,2480,1678,1755,1532,
GPEDA,breast,4,0,8026,6476,5142,7203,6466,5051,2920,5032,3565,2485,1563,1319,1160,492,
