Algorithm,Dataset,Rep,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,
GP,transfusion,1,329
GPEDA,transfusion,1,329
GPBUMDA,transfusion,1,329
GP,transfusion,2,1843
GPEDA,transfusion,2,1843
GPBUMDA,transfusion,2,1843
GP,transfusion,3,1413
GPEDA,transfusion,3,1413
GPBUMDA,transfusion,3,1413
GP,transfusion,4,1664
GPEDA,transfusion,4,1664
GPBUMDA,transfusion,4,1664
GP,transfusion,5,6133
GPEDA,transfusion,5,6133
GPBUMDA,transfusion,5,6133
GPEDA,transfusion,2,0,8207,7642,8801,7989,8339,9319,9690,8728,6751,7714,6962,6795,5677,6452,
GPBUMDA,transfusion,3,0,6964,6103,6104,7688,9143,9126,12021,10214,10095,9019,10727,13363,13657,5418,
GPBUMDA,transfusion,1,0,1572,3733,9281,12795,11345,13946,16369,13470,13573,15038,10078,7394,8548,7200,
GPBUMDA,transfusion,5,0,11616,11239,8167,10218,13832,10858,8266,11539,11109,10298,7384,9839,8262,6430,
GPBUMDA,transfusion,2,0,7180,8416,7941,9397,12067,16651,13848,12752,15975,9975,10789,9648,8573,5553,
GPEDA,transfusion,1,0,2458,9169,11464,12478,14470,15971,19444,18875,14656,10560,11937,7513,5528,6088,
GP,transfusion,1,0,1945,5581,11616,15162,14531,15862,17505,15132,16641,14117,12820,7556,6622,5717,
GPEDA,transfusion,5,0,14097,13224,13874,15733,17577,18957,14182,11337,7708,7268,5552,5783,3464,2547,
GP,transfusion,3,0,9204,12583,10916,10590,14204,13246,13005,17985,11090,16958,10897,7346,5588,5658,
GP,transfusion,5,0,11111,14867,12277,15937,12976,18171,14814,13006,11668,10402,7040,5544,4844,2217,
GP,transfusion,4,0,12120,14059,15837,18861,17780,15934,17015,14508,14525,8107,7221,2910,2182,1531,
GPEDA,transfusion,4,0,13957,9928,15183,16549,21667,15957,16507,10993,11383,10930,8063,6461,4549,1339,
GP,transfusion,2,0,6414,9730,14070,9672,15167,17496,17386,18480,17265,14870,10410,8471,4163,3200,
GPEDA,transfusion,3,0,8698,7252,9998,9869,8239,18597,15677,19609,15236,20003,12201,8731,6632,5503,
GPBUMDA,transfusion,4,0,9748,14851,15715,24455,23394,23366,20202,14216,9022,4156,3993,1120,511,370,
