Algorithm,Dataset,Rep,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,
GP,heart,1,50
GPEDA,heart,1,50
GPBUMDA,heart,1,50
GP,heart,2,343
GPEDA,heart,2,343
GPBUMDA,heart,2,343
GP,heart,3,1180
GPEDA,heart,3,1180
GPBUMDA,heart,3,1180
GP,heart,4,928
GPEDA,heart,4,928
GPBUMDA,heart,4,928
GP,heart,5,2202
GPEDA,heart,5,2202
GPBUMDA,heart,5,2202
GP,heart,4,0,4021,2005,2313,526,691,445,532,421,821,1191,705,341,712,537,
GP,heart,1,0,1093,940,934,2003,1312,2772,1909,1529,1547,1411,1245,800,1019,471,
GP,heart,2,0,1377,1581,1747,1270,1779,1790,1110,911,2191,1440,1977,624,1179,586,
GPEDA,heart,5,0,4970,2224,2770,1012,579,922,830,375,563,572,520,581,724,643,
GPBUMDA,heart,2,0,1109,1446,1755,1968,2816,2663,1702,2584,1616,1598,779,785,962,319,
GP,heart,5,0,3177,2401,3319,1746,928,1456,806,1426,772,638,343,451,662,344,
GP,heart,3,0,2678,2911,1886,1764,2428,1433,1319,1600,1975,1393,885,1099,403,728,
GPEDA,heart,4,0,3700,3050,2578,1830,523,481,994,1267,1639,1151,754,1093,1563,1349,
GPBUMDA,heart,5,0,4405,2098,2502,1308,913,947,1234,1191,1495,1023,988,628,581,679,
GPBUMDA,heart,1,0,514,489,792,1759,2208,3559,4870,4409,2296,1838,1052,712,414,374,
GPEDA,heart,3,0,3702,1708,2805,3224,3314,2763,1469,2864,1908,177,176,219,160,142,
GPBUMDA,heart,3,0,1594,1259,1255,2286,1356,4703,6084,3483,1268,665,284,156,102,232,
GPEDA,heart,1,0,723,742,1245,1719,5145,4919,4977,3136,2290,780,539,153,63,46,
GPBUMDA,heart,4,0,3530,1798,2212,730,728,807,4260,4426,3934,1377,238,61,80,41,
GPEDA,heart,2,0,789,1151,2227,2923,3615,3429,2926,2845,1902,1353,1651,859,481,212,
