IdConf,Rep,Gen,Z,Id,C,Gamma,Degree,Alpha,A,Coef0,Acc,PSV,CmbIdx,G_mean,Time,Arbol
a,1,0,7.603810224807182,0,22.09460070005524,3.1338422508820583,3,0.5722563535409582,0.026456364544005444,3.514284594657584,93.37112010796221,0.3217015167559651,90.28303149244208,91.28055806291964,72,(K_11+(G*H))
a,1,0,7.603810224807182,1,15.127562326995314,1.8305483385574244,3,-0.2871488145398242,0.36537564157703756,0.36533767828637265,88.20242914979757,0.6833527735192005,62.035297611108795,76.34501785560725,30,((E+K_11)*(P+R))
a,1,0,7.603810224807182,2,4.028678876686563,1.7560550161595117,2,0.29106665990020075,1.347617899840205,4.8121783528942,85.16261808367071,0.33843393234393854,73.08165755472807,74.94389721767895,2,L
a,1,0,7.603810224807182,3,29.06163954995232,0.452761163206692,2,-0.5683385081805816,1.6865371172983947,1.6632314365229894,94.37112010796221,0.5781816313951099,82.9276493593407,92.74478580956188,44,((L+R)*(R*W))
a,1,0,7.603810224807182,4,26.22644577730406,1.9050416609553378,6,-0.8653642591775268,1.3821333833138698,0.9184970036785439,93.83130904183535,0.9230839299731841,39.041837662622115,86.25527354879914,72,((K_11*R)*(W*K_11))
a,1,0,7.603810224807182,5,19.259407404244136,0.601747748630704,6,0.2752305727416908,1.7210526007720592,2.7695501618131386,94.38394062078272,0.39738463645798766,89.74494129979773,93.46575441199188,169,((R*P)+(G+K_11))
a,1,0,7.603810224807182,6,8.160523000261069,0.5272544262327912,5,0.8534460173793934,0.7042948888226482,2.2163908364209672,90.78070175438596,0.6205230410983441,73.21573128400783,83.42751066384795,86,(H+(E+K_11))
a,1,0,7.603810224807182,7,1.1934846272011441,3.2083355732799714,4,-0.005959150701388971,1.043214136068259,4.067443920049756,94.35762483130904,0.490992503147835,86.66330093247878,91.6461619992893,66,((K_11*K_13)*(G+H))
a,1,0,7.603810224807182,8,30.358290854552884,0.6762410710286173,1,-0.30298490169833414,0.738810372296313,3.3227095617111164,94.89676113360323,0.4230095409692697,89.68881950367981,93.07140418052575,35,((H+E)+(W+L))
a,1,0,7.603810224807182,9,23.3912520046558,3.3573221587039836,2,0.8376099302208835,1.0777296195419237,0.17376264533990493,91.76653171390014,0.7731057935968557,62.54814648608066,85.08753223530319,128,((K_11*G)*(L*W))
a,1,0,7.603810224807182,10,12.292368077509895,3.2828288363060705,5,-0.5841745953390916,0.06097187780509138,4.620603319947733,75.39136302294197,0.4922993683256679,41.949643884000466,0.0,77,((R*P)*(H*H))
a,1,0,7.603810224807182,11,5.32532970444997,1.979534923981437,1,0.5564202663824482,0.399891125050702,1.4716564035765218,93.31848852901484,0.8320484371460333,58.008981077921476,85.98080136863435,29,((R*H)*(K_11*K_13))
a,1,0,7.603810224807182,12,3.544895119280824,1.5701607023163187,6,0.7584294348236889,0.945903302925722,4.960621689934593,91.30566801619435,0.498717685300796,80.79210757919002,82.36975712731352,2,K_13
a,1,0,7.603810224807182,13,28.57785626938374,0.2668667899916848,2,-0.10097570345477114,1.2848225501713328,1.811674773563381,93.83130904183535,0.3256298567537524,90.85204755454576,90.52760435037567,2,R
a,1,0,7.603810224807182,14,17.47897281907499,0.1923734082219578,1,0.47723974118293144,0.2680648084345004,1.2585154481712095,91.27935222672065,0.5744012264702627,77.08103642986798,83.07368442353075,74,((G*W)+(H+K_13))
a,1,0,7.603810224807182,15,10.511933969177907,2.8734545552691384,1,-0.38216542689785116,0.6069840556801114,3.109568606305804,92.83198380566802,0.28713502236411625,90.29485760372484,91.73653381640746,10,(L*(L*G))
a,1,0,7.603810224807182,16,7.676739719692488,0.34136005301778394,3,-0.6791911778947961,0.30258029190816516,2.3648342479671647,88.20310391363023,0.28462839742272655,81.77866698626362,79.99184734690354,33,((H+G)+(K_13*H))
a,1,0,7.603810224807182,17,0.7097013466325635,3.02244114069315,5,0.4614036540244215,0.6414995391537758,4.215887331595953,94.38394062078274,0.5114974738295058,85.914430780729,91.96007608338358,15,((R+L)*(R+L))
a,1,0,7.603810224807182,18,21.610817896323816,2.947947877667051,2,-0.9603808715355535,1.6237417974169435,3.6627279316979755,87.2017543859649,0.32819395931785494,78.20527374525263,79.87316006457523,5,L
a,1,0,7.603810224807182,19,14.643779046426733,1.6446539653424177,3,0.18021396038366388,1.9626610446625543,0.5137810153267641,75.39136302294197,0.4922993683256679,41.949643884000466,0.0,14,((P*R)+(P*K_11))
a,1,0,7.603810224807182,20,11.808584796941314,3.096934403719249,6,-0.11681182041560345,1.6582573106780294,4.769046656988125,75.39136302294197,0.4922993683256679,41.949643884000466,0.0,1,P
a,1,0,7.603810224807182,21,4.841546423881386,1.7936406101382438,5,-0.976216988496386,1.997176528136219,1.6200997406169133,94.89676113360323,0.38714445269818193,90.70635128909909,93.0130592448514,10,((R+L)+(P+P))
a,1,0,7.603810224807182,22,25.74266249673548,1.7191472283685165,4,-0.3980015140563611,0.9804187863993867,1.0669404152247415,86.67543859649122,0.32692007396753653,77.04863569911087,79.5786149911099,4,L
a,1,0,7.603810224807182,23,18.775623646838397,0.4158533160438831,4,0.7425933476651789,1.3193380336449971,2.917993573359336,94.34480431848853,0.7448672640967688,71.06404410282222,91.09555407549773,59,((W*K_11)*(R+R))
a,1,0,7.603810224807182,24,15.940429874190137,1.868133873164343,6,0.4455675668659116,1.0149342698730512,2.1732590660090843,95.88326585695008,0.4422323550020283,90.29098961149226,94.45305777608975,237,((G+H)+(R+P))
