Algorithm,Dataset,Rep,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,
GP,wpbc,1,10
GPEDA,wpbc,1,10
GPBUMDA,wpbc,1,10
GP,wpbc,2,15
GPEDA,wpbc,2,15
GPBUMDA,wpbc,2,15
GP,wpbc,3,201
GPEDA,wpbc,3,201
GPBUMDA,wpbc,3,201
GP,wpbc,4,607
GPEDA,wpbc,4,607
GPBUMDA,wpbc,4,607
GP,wpbc,5,919
GPEDA,wpbc,5,919
GPBUMDA,wpbc,5,919
GPEDA,wpbc,2,0,22,39,102,245,144,169,165,275,230,309,310,425,431,698,
GP,wpbc,1,0,136,132,29,183,49,129,113,262,418,451,463,367,604,831,
GPBUMDA,wpbc,1,0,446,174,465,404,463,620,660,502,769,409,518,406,375,452,
GPBUMDA,wpbc,2,0,182,113,70,484,456,187,362,485,478,816,384,432,1568,1593,
GPEDA,wpbc,1,0,788,438,582,1015,1341,613,530,513,669,767,580,358,563,517,
GPBUMDA,wpbc,5,0,2072,1004,435,1420,631,422,220,289,301,337,188,304,266,304,
GPBUMDA,wpbc,4,0,604,1015,1007,1102,492,1442,647,743,574,280,486,552,237,141,
GP,wpbc,2,0,1459,521,629,1313,875,1620,1029,950,1005,930,212,202,316,437,
GP,wpbc,5,0,1265,1047,1090,1249,728,785,1144,512,413,331,362,522,184,280,
GP,wpbc,4,0,2675,914,1079,1112,676,1524,1258,252,881,394,169,185,96,114,
GPBUMDA,wpbc,3,0,812,785,1096,543,837,361,546,1327,1186,2007,857,442,616,592,
GPEDA,wpbc,3,0,985,248,1684,1346,898,1713,605,1592,531,453,944,240,840,162,
GP,wpbc,3,0,1349,1607,1275,1158,1019,724,727,1294,1058,618,750,481,218,129,
GPEDA,wpbc,5,0,2215,1251,1647,1442,1134,1104,388,459,816,164,157,84,75,49,
GPEDA,wpbc,4,0,1368,857,831,1005,1172,867,1505,825,1866,1052,580,20,19,21,
